Period,Index,net_ret
3/31/2010,NFI-ODCE Value Weighted Index,0.005120769
6/30/2010,NFI-ODCE Value Weighted Index,0.040906724
9/30/2010,NFI-ODCE Value Weighted Index,0.052181168
12/31/2010,NFI-ODCE Value Weighted Index,0.046984343
3/31/2011,NFI-ODCE Value Weighted Index,0.037864665
6/30/2011,NFI-ODCE Value Weighted Index,0.043851512
9/30/2011,NFI-ODCE Value Weighted Index,0.033077189
12/31/2011,NFI-ODCE Value Weighted Index,0.027121394
3/31/2012,NFI-ODCE Value Weighted Index,0.025496585
6/30/2012,NFI-ODCE Value Weighted Index,0.022876163
9/30/2012,NFI-ODCE Value Weighted Index,0.025333569
12/31/2012,NFI-ODCE Value Weighted Index,0.020814853
3/31/2013,NFI-ODCE Value Weighted Index,0.02442909
6/30/2013,NFI-ODCE Value Weighted Index,0.035974594
9/30/2013,NFI-ODCE Value Weighted Index,0.033497627
12/31/2013,NFI-ODCE Value Weighted Index,0.029366773
3/31/2014,NFI-ODCE Value Weighted Index,0.022895136
6/30/2014,NFI-ODCE Value Weighted Index,0.026855937
9/30/2014,NFI-ODCE Value Weighted Index,0.029995237
12/31/2014,NFI-ODCE Value Weighted Index,0.030245673
3/31/2015,NFI-ODCE Value Weighted Index,0.031549805
6/30/2015,NFI-ODCE Value Weighted Index,0.035834023
9/30/2015,NFI-ODCE Value Weighted Index,0.034335829
12/31/2015,NFI-ODCE Value Weighted Index,0.031068836
3/31/2016,NFI-ODCE Value Weighted Index,0.019507204
6/30/2016,NFI-ODCE Value Weighted Index,0.019062028
9/30/2016,NFI-ODCE Value Weighted Index,0.018319996
12/31/2016,NFI-ODCE Value Weighted Index,0.018805602
3/31/2017,NFI-ODCE Value Weighted Index,0.015448997
6/30/2017,NFI-ODCE Value Weighted Index,0.014702608
9/30/2017,NFI-ODCE Value Weighted Index,0.016420209
12/31/2017,NFI-ODCE Value Weighted Index,0.018461166
3/31/2018,NFI-ODCE Value Weighted Index,0.019715404
6/30/2018,NFI-ODCE Value Weighted Index,0.01808694
9/30/2018,NFI-ODCE Value Weighted Index,0.018674445
12/31/2018,NFI-ODCE Value Weighted Index,0.015204621
3/31/2019,NFI-ODCE Value Weighted Index,0.011973526
6/30/2019,NFI-ODCE Value Weighted Index,0.007703907
9/30/2019,NFI-ODCE Value Weighted Index,0.010789819
12/31/2019,NFI-ODCE Value Weighted Index,0.012719938
3/31/2020,NFI-ODCE Value Weighted Index,0.007529639
6/30/2020,NFI-ODCE Value Weighted Index,-0.017529152
