pm_fund_id,effective_date,cash_flow
FUND,9/30/2013,0
FUND,11/4/2013,-10000000
FUND,12/4/2013,-100000000
FUND,12/31/2013,0
FUND,1/27/2014,30000000
FUND,3/31/2014,0
FUND,4/17/2014,-17000000
FUND,6/30/2014,0
FUND,8/13/2014,-43000000
FUND,9/23/2014,7000000
FUND,9/30/2014,0
FUND,12/31/2014,0
FUND,1/29/2015,-7000000
FUND,3/31/2015,0
FUND,5/28/2015,-60000000
FUND,6/30/2015,0
FUND,7/1/2015,37000000
FUND,9/3/2015,-107000000
FUND,9/30/2015,0
FUND,11/24/2015,-10000000
FUND,12/31/2015,0
FUND,3/31/2016,0
FUND,6/9/2016,-10000000
FUND,6/30/2016,0
FUND,9/15/2016,-10000000
FUND,9/30/2016,0
FUND,11/2/2016,-8000000
FUND,12/21/2016,-10000000
FUND,12/31/2016,0
FUND,1/26/2017,-15000000
FUND,3/31/2017,0
FUND,4/5/2017,-10000000
FUND,6/29/2017,25000000
FUND,6/30/2017,0
FUND,7/25/2017,20000000
FUND,8/14/2017,-17000000
FUND,9/13/2017,12000000
FUND,9/30/2017,0
FUND,10/6/2017,-52000000
FUND,11/2/2017,10000000
FUND,11/6/2017,-2857143
FUND,11/8/2017,-9523810
FUND,11/22/2017,-72000000
FUND,11/27/2017,-30476190
FUND,12/15/2017,2857143
FUND,12/29/2017,10000000
FUND,12/31/2017,0
FUND,3/31/2018,0
FUND,6/29/2018,8476190
FUND,6/30/2018,0
FUND,8/28/2018,-6666667
FUND,9/28/2018,1428571
FUND,9/30/2018,0
FUND,10/10/2018,-8000000
FUND,11/27/2018,-6000000
FUND,12/14/2018,-5000000
FUND,12/27/2018,-60000000
FUND,12/31/2018,0
FUND,3/31/2019,0
FUND,4/1/2019,-66000000
FUND,5/10/2019,27187066
FUND,6/13/2019,16666667
FUND,6/30/2019,0
FUND,9/30/2019,0
FUND,10/15/2019,4000000
FUND,12/31/2019,0
FUND,3/31/2020,0
FUND,6/30/2020,0
