pm_fund_id,effective_date,nav
FUND,12/31/2013,109442844
FUND,3/31/2014,79928692
FUND,6/30/2014,97844657
FUND,9/30/2014,134027632
FUND,12/31/2014,158821848
FUND,3/31/2015,167731774
FUND,6/30/2015,230843921
FUND,9/30/2015,312991963
FUND,12/31/2015,344299889
FUND,3/31/2016,347961265
FUND,6/30/2016,378919890
FUND,9/30/2016,397722298
FUND,12/31/2016,432969345
FUND,3/31/2017,471804784
FUND,6/30/2017,468770787
FUND,9/30/2017,472746767
FUND,12/31/2017,622214996
FUND,3/31/2018,651627191
FUND,6/30/2018,662441434
FUND,9/30/2018,686892063
FUND,12/31/2018,785804522
FUND,3/31/2019,793712653
FUND,6/30/2019,840558552
FUND,9/30/2019,834809271
FUND,12/31/2019,834356337
FUND,3/31/2020,815177956
FUND,6/30/2020,782180822
